timestep,ep_rew_mean,ep_len_mean,success_rate,grasp_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,n_episodes
565248,-186.05424079999997,700.0,0.0,0.6,0.0,52.54,2.22,0.07577180198524258,100
573440,-185.81979553000005,700.0,0.0,0.61,0.0,55.46,2.19,0.07548715841986509,100
581632,-187.40974342999993,700.0,0.0,0.65,0.0,64.26,2.2,0.07492823591756399,100
589824,-188.26431896999998,700.0,0.0,0.68,0.0,65.27,2.27,0.074611105123562,100
598016,-186.87394985999998,700.0,0.0,0.72,0.0,74.89,2.41,0.0747080050202167,100
606208,-186.71076417,700.0,0.0,0.72,0.0,80.01,2.49,0.07480052633705145,100
614400,-186.30214583000006,700.0,0.0,0.72,0.0,72.4,2.55,0.0746542106365072,100
622592,-185.84124781999998,700.0,0.0,0.76,0.0,73.06,2.71,0.0747130062624232,100
630784,-185.44435468,700.0,0.0,0.76,0.0,72.18,2.64,0.07439234461219106,100
638976,-184.89558682999998,700.0,0.0,0.74,0.0,64.41,2.74,0.07466398958430959,100
647168,-184.47596581999997,700.0,0.0,0.74,0.0,66.55,2.72,0.0741074867819921,100
655360,-184.12245593999995,700.0,0.0,0.76,0.0,71.38,2.82,0.07375702801583436,100
663552,-183.57130501000003,700.0,0.0,0.75,0.0,73.6,2.69,0.07381302282412289,100
671744,-185.13377831000003,700.0,0.0,0.75,0.0,63.63,2.56,0.07437715854840853,100
679936,-184.81180966,700.0,0.0,0.74,0.0,60.99,2.53,0.07440624039177161,100
688128,-187.69560757000002,700.0,0.0,0.74,0.0,61.92,2.41,0.07439453454675132,100
696320,-187.72550119,700.0,0.0,0.76,0.0,70.72,2.64,0.07465273463736066,100
704512,-189.11947827,700.0,0.0,0.75,0.0,74.75,2.72,0.07486637099660552,100
712704,-190.81722602999997,700.0,0.0,0.78,0.0,75.04,2.99,0.07504430433623431,100
720896,-189.68627829000002,700.0,0.0,0.79,0.0,69.33,3.04,0.07490845352779676,100
729088,-190.24570636999997,700.0,0.0,0.78,0.0,62.63,3.08,0.07606553238709893,100
737280,-191.2187372,700.0,0.0,0.77,0.0,65.85,2.98,0.07531226445825098,100
745472,-191.67719924000005,700.0,0.0,0.77,0.0,64.62,3.02,0.07847788905182507,100
753664,-189.09111030999998,700.0,0.0,0.79,0.0,66.26,3.18,0.07867014459912149,100
761856,-190.35755786000001,700.0,0.0,0.8,0.0,71.1,2.91,0.07956989464327752,100
770048,-191.60035065,700.0,0.0,0.83,0.0,68.3,3.06,0.07962643329413283,100
778240,-189.73955020000002,700.0,0.0,0.84,0.0,69.97,2.92,0.07977006308905593,100
786432,-188.0776917,700.0,0.0,0.8,0.0,64.97,2.93,0.08095038727666985,100
794624,-189.71506723999994,700.0,0.0,0.8,0.0,68.47,3.03,0.08105939733027424,100
802816,-190.02333381999998,700.0,0.0,0.81,0.0,74.34,3.09,0.0803036909221181,100
811008,-191.20412498999997,700.0,0.0,0.8,0.0,68.11,3.12,0.0815443712426627,100
819200,-190.41781145999997,700.0,0.0,0.81,0.0,72.16,3.47,0.07835000774524517,100
827392,-189.88581157999997,700.0,0.0,0.78,0.0,69.35,3.44,0.07841724986236101,100
835584,-190.54191448999998,700.0,0.0,0.77,0.0,60.55,3.58,0.07878748932746608,100
843776,-190.33880246,700.0,0.0,0.75,0.0,58.41,3.6,0.07877232343520578,100
851968,-190.79809686999997,700.0,0.0,0.79,0.0,64.67,3.74,0.08015540423676558,100
860160,-190.19769684000002,700.0,0.0,0.82,0.0,67.15,3.96,0.08119473174086822,100
868352,-190.57004955,700.0,0.0,0.78,0.0,64.5,3.62,0.08175494241976859,100
876544,-190.98657747000001,700.0,0.0,0.81,0.0,66.1,3.85,0.08109779795402063,100
884736,-190.42620586,700.0,0.0,0.81,0.0,65.91,4.0,0.08205619407420217,100
892928,-190.88121907999997,700.0,0.0,0.83,0.0,68.46,4.08,0.08137202801786275,100
901120,-191.06657536,700.0,0.0,0.84,0.0,75.56,4.05,0.08179398717905453,100
909312,-191.80394367000005,700.0,0.0,0.86,0.0,78.76,4.19,0.08202095497236883,100
917504,-192.15702887999996,700.0,0.0,0.88,0.0,81.76,4.48,0.08159522255312184,100
925696,-191.83802132,700.0,0.0,0.85,0.0,85.82,4.11,0.08028837052662904,100
933888,-192.69772757999996,700.0,0.0,0.86,0.0,93.93,4.19,0.07891740396243098,100
942080,-191.35267606000002,700.0,0.0,0.88,0.0,92.56,4.48,0.07884503461953217,100
950272,-192.1261964,700.0,0.0,0.88,0.0,93.57,4.26,0.07783576909036868,100
958464,-192.62341319000004,700.0,0.0,0.89,0.0,90.41,4.45,0.07785720356587411,100
966656,-194.59547031000002,700.0,0.0,0.88,0.0,82.53,4.62,0.07838685631049906,100
974848,-192.78343816999998,700.0,0.0,0.86,0.0,85.12,4.54,0.07827462207626404,100
983040,-190.80677144,700.0,0.0,0.85,0.0,83.69,4.55,0.0833088440121737,100
991232,-193.22736675999997,700.0,0.0,0.87,0.0,82.19,4.57,0.08303285505250062,100
999424,-193.32411498,700.0,0.0,0.86,0.0,72.41,4.73,0.083006272612638,100
1007616,-192.67980272,700.0,0.0,0.86,0.0,66.49,4.64,0.08302357138995116,100
1015808,-194.74775085999997,700.0,0.0,0.88,0.0,66.08,5.02,0.08657023158340886,100
1024000,-194.20742309000002,700.0,0.0,0.88,0.0,62.8,5.32,0.08715975215370662,100
1032192,-194.23482628999997,700.0,0.0,0.9,0.0,61.36,5.49,0.08666454013252495,100
1040384,-195.13463432,700.0,0.0,0.89,0.0,60.57,5.18,0.08603073791470768,100
