#{"t_start": 1777043330.825672, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-182.023214,700,23769.346011,False,1.0,0.0,21,10,0.07632214740735577
80.398263,700,23799.897497,False,1.0,0.0,24,30,0.0724533049020295
-9.918326,700,23816.99243,False,1.0,0.0,29,27,0.08271992634225833
-224.011961,700,23837.560587,False,1.0,0.0,23,4,0.07322683282658327
-70.522598,700,23857.645273,False,1.0,0.0,25,24,0.11418793126246962
-66.372998,700,23876.146459,False,1.0,0.0,39,7,0.08905766341728627
-5.628163,700,23912.907925,False,1.0,0.0,32,20,0.09018191611240456
-104.25624,700,23929.436405,False,1.0,0.0,28,45,0.07926244799766125
4.732333,700,23946.872585,False,1.0,0.0,40,21,0.07375662812878048
-27.231998,700,23968.343738,False,1.0,0.0,25,11,0.07231976687655883
63.551976,700,23996.165453,False,1.0,0.0,23,17,0.07348521613159054
71.212574,700,24023.32327,False,1.0,0.0,23,10,0.08004012289151241
-54.546287,700,24046.813552,False,1.0,0.0,21,12,0.07363620358881229
-89.514616,700,24068.529168,False,1.0,0.0,29,26,0.08209318113306596
-28.61318,700,24099.015283,False,1.0,0.0,30,14,0.07365227239537497
-80.731071,700,24129.577172,False,1.0,0.0,73,35,0.08399267905630614
-15.051653,700,24168.575576,False,1.0,0.0,41,16,0.07831684069987532
-2.690267,700,24194.084582,False,1.0,0.0,31,33,0.0860404164776224
-58.526991,700,24211.481336,False,1.0,0.0,22,14,0.09183276707363941
64.496946,700,24246.744072,False,1.0,0.0,30,9,0.07286445664738572
20.143575,700,24286.089669,False,1.0,0.0,35,18,0.0748141352223135
-240.481332,700,24308.578285,False,1.0,0.0,114,6,0.07353106931906195
53.325866,700,24351.422328,False,1.0,0.0,26,6,0.0737190984738616
-185.098014,700,24368.448941,False,1.0,0.0,68,13,0.10639513277619361
-105.526836,700,24392.181349,False,1.0,0.0,29,6,0.07175062010568845
-75.019083,700,24411.444816,False,1.0,0.0,46,25,0.07236283443101921
53.39743,700,24438.983946,False,1.0,0.0,29,5,0.0730700595680539
36.320121,700,24466.065364,False,1.0,0.0,27,10,0.07231708885724497
-6.769122,700,24487.274957,False,1.0,0.0,26,23,0.07293079673396563
-128.557873,700,24517.276759,False,1.0,0.0,22,28,0.08919337967125396
-265.647323,700,24540.557471,False,0.0,0.0,0,0,0.07045436447012332
-108.865513,700,24567.15987,False,1.0,0.0,32,33,0.08523863525453113
-111.712053,700,24593.277356,False,1.0,0.0,27,17,0.08271576102287914
-27.830952,700,24619.755834,False,1.0,0.0,27,38,0.07703675426106604
22.234468,700,24650.118749,False,1.0,0.0,26,21,0.0724288840734485
-48.223992,700,24686.728134,False,1.0,0.0,28,11,0.09556958497084811
14.143621,700,24715.657346,False,1.0,0.0,30,23,0.07675598399039385
-95.886496,700,24742.606846,False,1.0,0.0,61,9,0.08097550108310625
102.424905,700,24780.281247,False,1.0,0.0,24,6,0.07129075361167181
-128.676112,700,24818.430843,False,1.0,0.0,27,16,0.07356835629473613
-195.283383,700,24849.843966,False,1.0,0.0,29,11,0.08924961208249271
-75.510761,700,24876.146752,False,1.0,0.0,19,5,0.07595968733092595
-280.187959,700,24909.397481,False,0.0,0.0,0,0,0.07046545575963437
-58.675813,700,24937.74183,False,1.0,0.0,20,4,0.07882907517698157
-77.693785,700,24974.860459,False,1.0,0.0,28,13,0.0733741178208277
-178.031643,700,25007.708147,False,1.0,0.0,32,8,0.07506984556109486
-93.198004,700,25046.435965,False,1.0,0.0,22,21,0.08549217755081695
-17.280202,700,25079.284677,False,1.0,0.0,22,17,0.07240653150757526
-226.3455,700,25124.950805,False,1.0,0.0,29,13,0.07328498339387779
9.15663,700,25162.378668,False,1.0,0.0,37,16,0.09283029346272365
-145.149475,700,25197.987695,False,1.0,0.0,24,12,0.07324982491165832
24.558494,700,25222.851454,False,1.0,0.0,25,15,0.07370455236307638
41.365424,700,25255.632378,False,1.0,0.0,25,5,0.07265122074581754
215.137189,700,25286.22504,False,1.0,0.0,24,26,0.0723782816338514
34.948643,700,25327.21668,False,1.0,0.0,33,21,0.07180248996088678
14.503491,700,25360.040532,False,1.0,0.0,26,22,0.07322942400066679
-72.116182,700,25406.21745,False,1.0,0.0,24,35,0.07974475545545201
31.331167,700,25444.027253,False,1.0,0.0,19,13,0.07311024161674629
46.107388,700,25477.207707,False,1.0,0.0,24,22,0.07401974438024939
13.463106,700,25519.775587,False,1.0,0.0,26,16,0.07314594946969355
62.126228,700,25555.562081,False,1.0,0.0,34,8,0.07294188545510016
-45.263645,700,25599.029745,False,1.0,0.0,33,29,0.08004311111730633
-190.239873,700,25632.886634,False,1.0,0.0,37,14,0.07528739421171671
112.695076,700,25661.975112,False,1.0,0.0,26,5,0.07190962105844212
38.741418,700,25703.826984,False,1.0,0.0,25,6,0.07281368153529655
25.955759,700,25734.283839,False,1.0,0.0,22,13,0.11208202353444963
136.214733,700,25768.224409,False,1.0,0.0,25,8,0.07364524872209222
150.954225,700,25803.307691,False,1.0,0.0,21,12,0.07055930349370443
-0.376084,700,25841.27154,False,1.0,0.0,26,11,0.07367603221265717
144.338249,700,25877.76928,False,1.0,0.0,19,29,0.07286045032661359
-56.848145,700,25912.786256,False,1.0,0.0,28,25,0.08122974585811449
-178.025416,700,25946.732519,False,1.0,0.0,18,17,0.08677722570177226
-239.110502,700,25982.524251,False,1.0,0.0,24,5,0.07759606451947676
-30.108078,700,26014.655313,False,1.0,0.0,25,12,0.07410242614717555
-40.977668,700,26071.862731,False,1.0,0.0,27,23,0.07597469144347468
-43.599482,700,26105.983403,False,1.0,0.0,21,27,0.07307784614779655
103.575337,700,26145.065415,False,1.0,0.0,24,2,0.07176093087871005
-142.80459,700,26180.318113,False,1.0,0.0,22,23,0.0756182719419275
5.339426,700,26207.829692,False,1.0,0.0,30,24,0.07215077985425844
141.873891,700,26246.22107,False,1.0,0.0,23,9,0.08437470166923144
52.161293,700,26296.755284,False,1.0,0.0,24,20,0.07662791006097935
107.120167,700,26324.192002,False,1.0,0.0,34,6,0.07126208581921345
-58.96982,700,26359.537097,False,1.0,0.0,24,30,0.07358274625135919
